cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_5,0,0,1,2,0,2,2,2,1,1
216_8,0,2,0,1,0,2,2,0,1,2
216_7,0,2,0,1,0,2,2,0,1,2
216_2,2,1,1,0,1,0,2,2,0,0
216_1,2,1,1,0,1,0,2,2,1,2
216_4,2,0,2,2,1,2,2,1,0,2
216_3,2,0,2,2,1,2,2,1,0,2
216_14,2,1,0,0,1,2,2,1,2,2
216_13,2,1,0,0,1,2,2,1,2,2
216_12,0,0,1,2,1,1,2,1,2,2
216_11,0,0,1,0,1,1,2,1,2,2
216_10,0,0,1,0,0,0,2,1,2,2
216_9,0,0,1,2,1,0,2,1,2,2
